dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
773_YAHOO_id_223_WebService_tr_500_1st_137,0.032457,0.71 s,1.0,0.9834,1.0,0.9916
756_YAHOO_id_206_WebService_tr_500_1st_55,0.032457,0.70 s,0.828,0.0606,0.2406,0.0969
803_YAHOO_id_253_WebService_tr_500_1st_58,0.032463,0.71 s,1.0,0.8321,1.0,0.9084
668_YAHOO_id_118_WebService_tr_500_1st_112,0.032468,0.71 s,1.0,0.8959,0.9975,0.944
610_YAHOO_id_60_WebService_tr_500_1st_878,0.032469,0.70 s,1.0,0.1706,1.0,0.2914
553_YAHOO_id_3_WebService_tr_500_1st_237,0.032471,0.71 s,0.9956,0.6507,0.5901,0.6189
579_YAHOO_id_29_WebService_tr_500_1st_1342,0.032471,0.71 s,1.0,0.0389,1.0,0.0749
678_YAHOO_id_128_WebService_tr_500_1st_665,0.032474,0.71 s,1.0,0.2752,1.0,0.4316
769_YAHOO_id_219_WebService_tr_500_1st_205,0.032475,0.71 s,1.0,0.8957,1.0,0.945
686_YAHOO_id_136_WebService_tr_500_1st_755,0.032483,0.71 s,0.9812,0.8556,0.7979,0.8257
621_YAHOO_id_71_WebService_tr_500_1st_721,0.032485,0.71 s,1.0,0.5,1.0,0.6667
687_YAHOO_id_137_WebService_tr_500_1st_89,0.032489,0.74 s,0.9957,0.5735,0.9015,0.701
799_YAHOO_id_249_WebService_tr_500_1st_852,0.032493,0.71 s,1.0,0.592,1.0,0.7437
719_YAHOO_id_169_WebService_tr_500_1st_852,0.032493,0.71 s,1.0,0.592,1.0,0.7437
669_YAHOO_id_119_WebService_tr_500_1st_21,0.032505,0.71 s,1.0,0.7734,1.0,0.8722
741_YAHOO_id_191_WebService_tr_500_1st_1114,0.032508,0.71 s,1.0,0.4225,1.0,0.5941
643_YAHOO_id_93_WebService_tr_500_1st_1038,0.03251,0.70 s,0.6863,0.0,0.0,0.0
710_YAHOO_id_160_WebService_tr_500_1st_253,0.032513,0.71 s,1.0,0.5927,1.0,0.7443
642_YAHOO_id_92_WebService_tr_500_1st_433,0.032521,0.71 s,1.0,0.3292,1.0,0.4954
768_YAHOO_id_218_WebService_tr_500_1st_431,0.032522,0.71 s,1.0,1.0,1.0,1.0
759_YAHOO_id_209_WebService_tr_500_1st_189,0.032532,0.70 s,1.0,0.996,1.0,0.998
